phylo,species,Plots,Block,NP,NAR,Cvalue,Biomass,presence
Achnatherum_sibiricum,Achnatherum_sibiricum,226,2,0,3,3.79,0.96,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,227,2,2,7,3.79,0.32,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,231,2,2,3,3.79,12.52,1
Achnatherum_sibiricum,Achnatherum_sibiricum,232,2,2,6,3.79,28.75,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,233,2,0,0,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,234,2,0,4,3.79,7.75,1
Achnatherum_sibiricum,Achnatherum_sibiricum,235,2,0,2,3.79,2.72,1
Achnatherum_sibiricum,Achnatherum_sibiricum,236,2,2,2,3.79,0.98,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,237,2,2,6,3.79,0.49,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,311,3,2,7,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,312,3,1,5,3.79,1.31,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,313,3,2,5,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,314,3,0,2,3.79,27.89,1
Achnatherum_sibiricum,Achnatherum_sibiricum,315,3,1,4,3.79,2.84,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,316,3,0,0,3.79,5.56,1
Achnatherum_sibiricum,Achnatherum_sibiricum,317,3,1,7,3.79,0.82,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,321,3,2,6,3.79,11.37,1
Achnatherum_sibiricum,Achnatherum_sibiricum,322,3,0,0,3.79,1.1,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,323,3,0,3,3.79,1.91,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,324,3,2,8,3.79,15.35,1
Achnatherum_sibiricum,Achnatherum_sibiricum,325,3,0,2,3.79,0.52,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,326,3,1,5,3.79,4.06,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,327,3,2,3,3.79,15.17,1
Achnatherum_sibiricum,Achnatherum_sibiricum,331,3,0,4,3.79,0.23,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,332,3,0,3,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,333,3,1,6,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,334,3,2,4,3.79,10.06,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,335,3,2,7,3.79,1.33,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,336,3,2,2,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,337,3,2,6,3.79,6.23,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,411,4,0,0,3.79,2.89,1
Achnatherum_sibiricum,Achnatherum_sibiricum,412,4,0,3,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,413,4,2,6,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,414,4,2,6,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,415,4,0,0,3.79,1.35,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,416,4,2,3,3.79,22.58,1
Achnatherum_sibiricum,Achnatherum_sibiricum,417,4,2,5,3.79,10.1,1
Achnatherum_sibiricum,Achnatherum_sibiricum,421,4,2,4,3.79,2.09,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,422,4,2,8,3.79,1.34,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,423,4,1,6,3.79,8.3,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,424,4,1,5,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,425,4,2,7,3.79,29.84,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,426,4,0,4,3.79,4.35,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,427,4,0,3,3.79,6.42,1
Achnatherum_sibiricum,Achnatherum_sibiricum,431,4,1,4,3.79,7.28,1
Achnatherum_sibiricum,Achnatherum_sibiricum,432,4,2,2,3.79,4.1,1
Achnatherum_sibiricum,Achnatherum_sibiricum,433,4,2,7,3.79,23.93,1
Achnatherum_sibiricum,Achnatherum_sibiricum,434,4,1,5,3.79,57.99,1
Achnatherum_sibiricum,Achnatherum_sibiricum,435,4,0,2,3.79,8.09,1
Achnatherum_sibiricum,Achnatherum_sibiricum,436,4,0,2,3.79,4.31,1
Achnatherum_sibiricum,Achnatherum_sibiricum,437,4,1,7,3.79,18.87,1
Achnatherum_sibiricum,Achnatherum_sibiricum,511,5,1,5,3.79,19.46,1
Achnatherum_sibiricum,Achnatherum_sibiricum,512,5,2,4,3.79,7.94,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,513,5,0,2,3.79,13.2,1
Achnatherum_sibiricum,Achnatherum_sibiricum,514,5,0,0,3.79,10.45,1
Achnatherum_sibiricum,Achnatherum_sibiricum,515,5,0,0,3.79,19.03,1
Achnatherum_sibiricum,Achnatherum_sibiricum,516,5,2,3,3.79,0.41,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,517,5,0,4,3.79,8.83,1
Achnatherum_sibiricum,Achnatherum_sibiricum,521,5,1,7,3.79,17.97,1
Achnatherum_sibiricum,Achnatherum_sibiricum,522,5,2,7,3.79,0.45,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,523,5,2,8,3.79,3.8,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,524,5,2,2,3.79,21.22,0.67
Achnatherum_sibiricum,Achnatherum_sibiricum,525,5,1,4,3.79,0,0
Achnatherum_sibiricum,Achnatherum_sibiricum,526,5,0,3,3.79,9.97,1
Achnatherum_sibiricum,Achnatherum_sibiricum,527,5,2,6,3.79,7.54,1
Achnatherum_sibiricum,Achnatherum_sibiricum,531,5,0,2,3.79,3.68,1
Achnatherum_sibiricum,Achnatherum_sibiricum,532,5,1,6,3.79,7.32,1
Achnatherum_sibiricum,Achnatherum_sibiricum,533,5,1,5,3.79,1.02,0.33
Achnatherum_sibiricum,Achnatherum_sibiricum,534,5,2,7,3.79,17.36,1
Achnatherum_sibiricum,Achnatherum_sibiricum,535,5,2,5,3.79,29.68,1
Achnatherum_sibiricum,Achnatherum_sibiricum,536,5,2,6,3.79,37.37,1
Achnatherum_sibiricum,Achnatherum_sibiricum,537,5,0,3,3.79,24.76,1
Adenophora_stenanthina,Adenophora_stenanthina,111,1,1,5,3.56,1.88,1
Adenophora_stenanthina,Adenophora_stenanthina,112,1,2,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,113,1,2,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,114,1,0,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,115,1,0,0,3.56,0.02,0.33
Adenophora_stenanthina,Adenophora_stenanthina,116,1,1,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,117,1,1,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,121,1,2,4,3.56,0.67,0.67
Adenophora_stenanthina,Adenophora_stenanthina,122,1,1,5,3.56,0.08,0.33
Adenophora_stenanthina,Adenophora_stenanthina,123,1,2,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,124,1,0,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,125,1,2,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,126,1,2,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,127,1,1,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,131,1,2,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,132,1,0,0,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,133,1,0,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,134,1,2,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,135,1,2,8,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,136,1,0,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,137,1,0,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,211,2,1,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,212,2,0,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,213,2,0,3,3.56,0.07,0.33
Adenophora_stenanthina,Adenophora_stenanthina,214,2,2,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,215,2,2,8,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,216,2,0,0,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,217,2,1,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,221,2,1,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,222,2,2,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,223,2,1,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,224,2,1,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,225,2,2,4,3.56,0.12,0.33
Adenophora_stenanthina,Adenophora_stenanthina,226,2,0,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,227,2,2,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,231,2,2,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,232,2,2,6,3.56,0.1,0.67
Adenophora_stenanthina,Adenophora_stenanthina,233,2,0,0,3.56,0.03,0.33
Adenophora_stenanthina,Adenophora_stenanthina,234,2,0,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,235,2,0,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,236,2,2,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,237,2,2,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,311,3,2,7,3.56,0.19,1
Adenophora_stenanthina,Adenophora_stenanthina,312,3,1,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,313,3,2,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,314,3,0,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,315,3,1,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,316,3,0,0,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,317,3,1,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,321,3,2,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,322,3,0,0,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,323,3,0,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,324,3,2,8,3.56,0.01,0.33
Adenophora_stenanthina,Adenophora_stenanthina,325,3,0,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,326,3,1,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,327,3,2,3,3.56,0.06,0.33
Adenophora_stenanthina,Adenophora_stenanthina,331,3,0,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,332,3,0,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,333,3,1,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,334,3,2,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,335,3,2,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,336,3,2,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,337,3,2,6,3.56,0.08,0.33
Adenophora_stenanthina,Adenophora_stenanthina,411,4,0,0,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,412,4,0,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,413,4,2,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,414,4,2,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,415,4,0,0,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,416,4,2,3,3.56,0.6,0.33
Adenophora_stenanthina,Adenophora_stenanthina,417,4,2,5,3.56,1.19,1
Adenophora_stenanthina,Adenophora_stenanthina,421,4,2,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,422,4,2,8,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,423,4,1,6,3.56,0.36,0.67
Adenophora_stenanthina,Adenophora_stenanthina,424,4,1,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,425,4,2,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,426,4,0,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,427,4,0,3,3.56,0.15,0.33
Adenophora_stenanthina,Adenophora_stenanthina,431,4,1,4,3.56,0.42,0.33
Adenophora_stenanthina,Adenophora_stenanthina,432,4,2,2,3.56,0.66,0.67
Adenophora_stenanthina,Adenophora_stenanthina,433,4,2,7,3.56,0.03,0.67
Adenophora_stenanthina,Adenophora_stenanthina,434,4,1,5,3.56,0.02,0.33
Adenophora_stenanthina,Adenophora_stenanthina,435,4,0,2,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,436,4,0,2,3.56,0.08,0.33
Adenophora_stenanthina,Adenophora_stenanthina,437,4,1,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,511,5,1,5,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,512,5,2,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,513,5,0,2,3.56,0.06,0.33
Adenophora_stenanthina,Adenophora_stenanthina,514,5,0,0,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,515,5,0,0,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,516,5,2,3,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,517,5,0,4,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,521,5,1,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,522,5,2,7,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,523,5,2,8,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,524,5,2,2,3.56,0.02,0.33
Adenophora_stenanthina,Adenophora_stenanthina,525,5,1,4,3.56,0.03,0.33
Adenophora_stenanthina,Adenophora_stenanthina,526,5,0,3,3.56,0.04,0.33
Adenophora_stenanthina,Adenophora_stenanthina,527,5,2,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,531,5,0,2,3.56,0.42,0.33
Adenophora_stenanthina,Adenophora_stenanthina,532,5,1,6,3.56,0,0
Adenophora_stenanthina,Adenophora_stenanthina,533,5,1,5,3.56,0.49,0.33
Adenophora_stenanthina,Adenophora_stenanthina,534,5,2,7,3.56,0.54,0.33
Adenophora_stenanthina,Adenophora_stenanthina,535,5,2,5,3.56,0.26,0.33
Adenophora_stenanthina,Adenophora_stenanthina,536,5,2,6,3.56,0.97,0.33
Adenophora_stenanthina,Adenophora_stenanthina,537,5,0,3,3.56,0,0
Allium_bidentatum,Allium_bidentatum,111,1,1,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,112,1,2,3,20.15,0,0
Allium_bidentatum,Allium_bidentatum,113,1,2,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,114,1,0,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,115,1,0,0,20.15,0.06,0.33
Allium_bidentatum,Allium_bidentatum,116,1,1,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,117,1,1,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,121,1,2,4,20.15,0,0
Allium_bidentatum,Allium_bidentatum,122,1,1,5,20.15,0.03,0.33
Allium_bidentatum,Allium_bidentatum,123,1,2,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,124,1,0,2,20.15,0.02,0.33
Allium_bidentatum,Allium_bidentatum,125,1,2,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,126,1,2,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,127,1,1,4,20.15,0.86,0.67
Allium_bidentatum,Allium_bidentatum,131,1,2,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,132,1,0,0,20.15,0,0
Allium_bidentatum,Allium_bidentatum,133,1,0,3,20.15,0.46,0.33
Allium_bidentatum,Allium_bidentatum,134,1,2,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,135,1,2,8,20.15,4.33,0.33
Allium_bidentatum,Allium_bidentatum,136,1,0,4,20.15,0,0
Allium_bidentatum,Allium_bidentatum,137,1,0,3,20.15,5.01,0.67
Allium_bidentatum,Allium_bidentatum,211,2,1,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,212,2,0,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,213,2,0,3,20.15,0,0
Allium_bidentatum,Allium_bidentatum,214,2,2,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,215,2,2,8,20.15,0,0
Allium_bidentatum,Allium_bidentatum,216,2,0,0,20.15,0,0
Allium_bidentatum,Allium_bidentatum,217,2,1,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,221,2,1,4,20.15,0,0
Allium_bidentatum,Allium_bidentatum,222,2,2,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,223,2,1,5,20.15,0.14,0.33
Allium_bidentatum,Allium_bidentatum,224,2,1,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,225,2,2,4,20.15,0,0
Allium_bidentatum,Allium_bidentatum,226,2,0,3,20.15,0,0
Allium_bidentatum,Allium_bidentatum,227,2,2,7,20.15,0.28,0.67
Allium_bidentatum,Allium_bidentatum,231,2,2,3,20.15,0,0
Allium_bidentatum,Allium_bidentatum,232,2,2,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,233,2,0,0,20.15,0.29,0.33
Allium_bidentatum,Allium_bidentatum,234,2,0,4,20.15,0.17,0.33
Allium_bidentatum,Allium_bidentatum,235,2,0,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,236,2,2,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,237,2,2,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,311,3,2,7,20.15,0.02,0.33
Allium_bidentatum,Allium_bidentatum,312,3,1,5,20.15,0.21,0.67
Allium_bidentatum,Allium_bidentatum,313,3,2,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,314,3,0,2,20.15,3,1
Allium_bidentatum,Allium_bidentatum,315,3,1,4,20.15,0.37,0.67
Allium_bidentatum,Allium_bidentatum,316,3,0,0,20.15,0,0
Allium_bidentatum,Allium_bidentatum,317,3,1,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,321,3,2,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,322,3,0,0,20.15,0.5,0.33
Allium_bidentatum,Allium_bidentatum,323,3,0,3,20.15,1.12,0.33
Allium_bidentatum,Allium_bidentatum,324,3,2,8,20.15,0,0
Allium_bidentatum,Allium_bidentatum,325,3,0,2,20.15,0.84,0.67
Allium_bidentatum,Allium_bidentatum,326,3,1,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,327,3,2,3,20.15,0,0
Allium_bidentatum,Allium_bidentatum,331,3,0,4,20.15,0,0
Allium_bidentatum,Allium_bidentatum,332,3,0,3,20.15,3.6,1
Allium_bidentatum,Allium_bidentatum,333,3,1,6,20.15,0.08,0.33
Allium_bidentatum,Allium_bidentatum,334,3,2,4,20.15,0,0
Allium_bidentatum,Allium_bidentatum,335,3,2,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,336,3,2,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,337,3,2,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,411,4,0,0,20.15,0.51,0.67
Allium_bidentatum,Allium_bidentatum,412,4,0,3,20.15,0.05,0.67
Allium_bidentatum,Allium_bidentatum,413,4,2,6,20.15,0.12,0.33
Allium_bidentatum,Allium_bidentatum,414,4,2,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,415,4,0,0,20.15,0,0
Allium_bidentatum,Allium_bidentatum,416,4,2,3,20.15,0,0
Allium_bidentatum,Allium_bidentatum,417,4,2,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,421,4,2,4,20.15,0.02,0.33
Allium_bidentatum,Allium_bidentatum,422,4,2,8,20.15,0.03,0.33
Allium_bidentatum,Allium_bidentatum,423,4,1,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,424,4,1,5,20.15,0.05,0.33
Allium_bidentatum,Allium_bidentatum,425,4,2,7,20.15,0.02,0.67
Allium_bidentatum,Allium_bidentatum,426,4,0,4,20.15,0.14,0.33
Allium_bidentatum,Allium_bidentatum,427,4,0,3,20.15,0.06,0.33
Allium_bidentatum,Allium_bidentatum,431,4,1,4,20.15,0,0
Allium_bidentatum,Allium_bidentatum,432,4,2,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,433,4,2,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,434,4,1,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,435,4,0,2,20.15,0.16,0.33
Allium_bidentatum,Allium_bidentatum,436,4,0,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,437,4,1,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,511,5,1,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,512,5,2,4,20.15,0,0
Allium_bidentatum,Allium_bidentatum,513,5,0,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,514,5,0,0,20.15,0.23,0.33
Allium_bidentatum,Allium_bidentatum,515,5,0,0,20.15,0,0
Allium_bidentatum,Allium_bidentatum,516,5,2,3,20.15,0,0
Allium_bidentatum,Allium_bidentatum,517,5,0,4,20.15,0.01,0.33
Allium_bidentatum,Allium_bidentatum,521,5,1,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,522,5,2,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,523,5,2,8,20.15,0,0
Allium_bidentatum,Allium_bidentatum,524,5,2,2,20.15,0.04,0.33
Allium_bidentatum,Allium_bidentatum,525,5,1,4,20.15,0.1,0.33
Allium_bidentatum,Allium_bidentatum,526,5,0,3,20.15,0.18,0.33
Allium_bidentatum,Allium_bidentatum,527,5,2,6,20.15,0.05,0.33
Allium_bidentatum,Allium_bidentatum,531,5,0,2,20.15,0,0
Allium_bidentatum,Allium_bidentatum,532,5,1,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,533,5,1,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,534,5,2,7,20.15,0,0
Allium_bidentatum,Allium_bidentatum,535,5,2,5,20.15,0,0
Allium_bidentatum,Allium_bidentatum,536,5,2,6,20.15,0,0
Allium_bidentatum,Allium_bidentatum,537,5,0,3,20.15,0,0
Allium_mongolicum,Allium_mongolicum,111,1,1,5,21.4,2.44,0.33
Allium_mongolicum,Allium_mongolicum,112,1,2,3,21.4,0,0
Allium_mongolicum,Allium_mongolicum,113,1,2,6,21.4,0,0
Allium_mongolicum,Allium_mongolicum,114,1,0,2,21.4,0,0
Allium_mongolicum,Allium_mongolicum,115,1,0,0,21.4,0,0
Allium_mongolicum,Allium_mongolicum,116,1,1,6,21.4,0,0
Allium_mongolicum,Allium_mongolicum,117,1,1,7,21.4,0,0
Allium_mongolicum,Allium_mongolicum,121,1,2,4,21.4,0,0
Allium_mongolicum,Allium_mongolicum,122,1,1,5,21.4,0,0
Allium_mongolicum,Allium_mongolicum,123,1,2,5,21.4,0,0
Allium_mongolicum,Allium_mongolicum,124,1,0,2,21.4,0,0
Allium_mongolicum,Allium_mongolicum,125,1,2,7,21.4,0,0
Allium_mongolicum,Allium_mongolicum,126,1,2,2,21.4,0,0
Allium_mongolicum,Allium_mongolicum,127,1,1,4,21.4,0,0
Allium_mongolicum,Allium_mongolicum,131,1,2,6,21.4,5.96,0.33
Allium_mongolicum,Allium_mongolicum,132,1,0,0,21.4,0,0
Allium_mongolicum,Allium_mongolicum,133,1,0,3,21.4,0,0
Allium_mongolicum,Allium_mongolicum,134,1,2,7,21.4,0,0
Allium_mongolicum,Allium_mongolicum,135,1,2,8,21.4,0,0
Allium_mongolicum,Allium_mongolicum,136,1,0,4,21.4,0,0
Allium_mongolicum,Allium_mongolicum,137,1,0,3,21.4,0.14,0.33
Allium_mongolicum,Allium_mongolicum,211,2,1,7,21.4,0,0
Allium_mongolicum,Allium_mongolicum,212,2,0,2,21.4,0.44,0.33
Allium_mongolicum,Allium_mongolicum,213,2,0,3,21.4,41.2,1
Allium_mongolicum,Allium_mongolicum,214,2,2,5,21.4,9.16,1
Allium_mongolicum,Allium_mongolicum,215,2,2,8,21.4,0,0
Allium_mongolicum,Allium_mongolicum,216,2,0,0,21.4,0,0
